"N(K)","Y(LIQUID,..-Q02)","Y(LIQUID,..-Q04)","Y(LIQUID,..-Q06)","Y(LIQUID,..-Q01)","Y(LIQUID,..-Q05)","Y(LIQUID,..-Q03)"
  7.50000E-01,  4.73815E-01,  2.22084E-01,  2.76193E-01,  1.75116E-02,  9.96997E-03,  4.26670E-04
  7.60000E-01,  4.94416E-01,  2.16280E-01,  2.64480E-01,  1.58656E-02,  8.59639E-03,  3.62367E-04
  7.70000E-01,  5.15257E-01,  2.09972E-01,  2.52762E-01,  1.43114E-02,  7.39095E-03,  3.07386E-04
  7.80000E-01,  5.36299E-01,  2.03201E-01,  2.41053E-01,  1.28509E-02,  6.33555E-03,  2.60363E-04
  7.90000E-01,  5.57505E-01,  1.96010E-01,  2.29367E-01,  1.14848E-02,  5.41349E-03,  2.20132E-04
  8.00000E-01,  5.78840E-01,  1.88440E-01,  2.17712E-01,  1.02124E-02,  4.60952E-03,  1.85701E-04
  8.10000E-01,  6.00273E-01,  1.80528E-01,  2.06100E-01,  9.03231E-03,  3.90981E-03,  1.56230E-04
  8.20000E-01,  6.21774E-01,  1.72312E-01,  1.94539E-01,  7.94227E-03,  3.30199E-03,  1.31002E-04
  8.30000E-01,  6.43314E-01,  1.63826E-01,  1.83036E-01,  6.93950E-03,  2.77499E-03,  1.09410E-04
  8.40000E-01,  6.64871E-01,  1.55100E-01,  1.71598E-01,  6.02083E-03,  2.31900E-03,  9.09398E-05
  8.50000E-01,  6.86422E-01,  1.46164E-01,  1.60230E-01,  5.18286E-03,  1.92539E-03,  7.51534E-05
  8.60000E-01,  7.07948E-01,  1.37044E-01,  1.48938E-01,  4.42202E-03,  1.58651E-03,  6.16798E-05
  8.70000E-01,  7.29431E-01,  1.27764E-01,  1.37724E-01,  3.73471E-03,  1.29570E-03,  5.02031E-05
  8.80000E-01,  7.50857E-01,  1.18345E-01,  1.26593E-01,  3.11733E-03,  1.04709E-03,  4.04546E-05
  8.90000E-01,  7.72211E-01,  1.08808E-01,  1.15547E-01,  2.56633E-03,  8.35556E-04,  3.22051E-05
  9.00000E-01,  7.93483E-01,  9.91686E-02,  1.04588E-01,  2.07828E-03,  6.56620E-04,  2.52588E-05
  9.10000E-01,  8.14663E-01,  8.94441E-02,  9.37176E-02,  1.64985E-03,  5.06369E-04,  1.94482E-05
  9.20000E-01,  8.35741E-01,  7.96482E-02,  8.29374E-02,  1.27784E-03,  3.81382E-04,  1.46297E-05
  9.30000E-01,  8.56710E-01,  6.97937E-02,  7.22482E-02,  9.59231E-04,  2.78670E-04,  1.06797E-05
  9.40000E-01,  8.77563E-01,  5.98922E-02,  6.16507E-02,  6.91120E-04,  1.95620E-04,  7.49190E-06
  9.50000E-01,  8.98295E-01,  4.99538E-02,  5.11452E-02,  4.70773E-04,  1.29943E-04,  4.97447E-06
  9.60000E-01,  9.18902E-01,  3.99877E-02,  4.07321E-02,  2.95604E-04,  7.96353E-05,  3.04796E-06
  9.70000E-01,  9.39379E-01,  3.00023E-02,  3.04112E-02,  1.63175E-04,  4.29394E-05,  1.64343E-06
  9.80000E-01,  9.59722E-01,  2.00049E-02,  2.01825E-02,  7.11853E-05,  1.83123E-05,  7.00977E-07
  2.00000E-01,  5.13067E-03,  3.45697E-02,  2.75923E-01,  4.87977E-02,  3.53729E-01,  2.81850E-01
  1.99990E-01,  5.13000E-03,  3.45676E-02,  2.75909E-01,  4.87979E-02,  3.53734E-01,  2.81861E-01
  1.99980E-01,  5.12934E-03,  3.45655E-02,  2.75895E-01,  4.87981E-02,  3.53739E-01,  2.81872E-01
  1.97980E-01,  4.99780E-03,  3.41482E-02,  2.73184E-01,  4.88461E-02,  3.54748E-01,  2.84076E-01
  1.95980E-01,  4.86876E-03,  3.37332E-02,  2.70469E-01,  4.88948E-02,  3.55754E-01,  2.86281E-01
  1.93980E-01,  4.74216E-03,  3.33205E-02,  2.67750E-01,  4.89442E-02,  3.56757E-01,  2.88486E-01
  1.90000E-01,  4.49735E-03,  3.25060E-02,  2.62333E-01,  4.90444E-02,  3.58744E-01,  2.92875E-01
  1.80000E-01,  3.92251E-03,  3.04972E-02,  2.48674E-01,  4.93079E-02,  3.63690E-01,  3.03909E-01
  1.70000E-01,  3.40184E-03,  2.85387E-02,  2.34957E-01,  4.95879E-02,  3.68568E-01,  3.14947E-01
  1.60000E-01,  2.93141E-03,  2.66265E-02,  2.21192E-01,  4.98841E-02,  3.73382E-01,  3.25984E-01
  1.50000E-01,  2.50760E-03,  2.47567E-02,  2.07388E-01,  5.01967E-02,  3.78135E-01,  3.37016E-01
  1.40000E-01,  2.12709E-03,  2.29258E-02,  1.93555E-01,  5.05256E-02,  3.82828E-01,  3.48039E-01
  1.30000E-01,  1.78683E-03,  2.11308E-02,  1.79698E-01,  5.08714E-02,  3.87462E-01,  3.59050E-01
  1.20000E-01,  1.48401E-03,  1.93689E-02,  1.65826E-01,  5.12345E-02,  3.92040E-01,  3.70046E-01
  1.10000E-01,  1.21606E-03,  1.76373E-02,  1.51944E-01,  5.16158E-02,  3.96562E-01,  3.81025E-01
  1.00000E-01,  9.80570E-04,  1.59338E-02,  1.38058E-01,  5.20164E-02,  4.01028E-01,  3.91983E-01
  9.00000E-02,  7.75353E-04,  1.42563E-02,  1.24174E-01,  5.24377E-02,  4.05439E-01,  4.02918E-01
  8.00000E-02,  5.98367E-04,  1.26028E-02,  1.10296E-01,  5.28816E-02,  4.09793E-01,  4.13828E-01
  7.00000E-02,  4.47727E-04,  1.09715E-02,  9.64278E-02,  5.33504E-02,  4.14090E-01,  4.24712E-01
  6.00000E-02,  3.21690E-04,  9.36062E-03,  8.25749E-02,  5.38468E-02,  4.18328E-01,  4.35568E-01
  5.00000E-02,  2.18637E-04,  7.76860E-03,  6.87408E-02,  5.43738E-02,  4.22505E-01,  4.46393E-01
  4.00000E-02,  1.37075E-04,  6.19366E-03,  5.49295E-02,  5.49339E-02,  4.26620E-01,  4.57186E-01
  3.00000E-02,  7.56221E-05,  4.63376E-03,  4.11449E-02,  5.55272E-02,  4.30673E-01,  4.67945E-01
  2.00000E-02,  3.30173E-05,  3.08599E-03,  2.73914E-02,  5.61465E-02,  4.34675E-01,  4.78668E-01
